Longitud de onda (nm),% de transmisión T 80[1],% de transmisión T 80[2],% de transmisión T 80[3],% de transmisión T 120[1],% de transmisión T 120[2],% de transmisión T 120[3],% de transmisión T 240[1],% de transmisión T 240[2],% de transmisión T 240[3],% de transmisión T 320[1],% de transmisión T 320[2],% de transmisión T 320[3],% de transmisión T 400[1],% de transmisión T 400[2],% de transmisión T 400[3],% de transmisión T 600[1],% de transmisión T 600[2],% de transmisión T 600[3],% de transmisión T Null[1],% de transmisión T Null[2],% de transmisión T Null[3],% de transmisión D Null[1],% de transmisión D Null[2],% de transmisión D Null[3],% de transmisión D 80[1],% de transmisión D 80[2],% de transmisión D 80[3],% de transmisión D 120[1],% de transmisión D 120[2],% de transmisión D 120[3],% de transmisión D 240[1],% de transmisión D 240[2],% de transmisión D 240[3],% de transmisión D 320[1],% de transmisión D 320[2],% de transmisión D 400[1],% de transmisión D 400[2],% de transmisión D 600[1],% de transmisión D 600[2]
750,92.793561,89.428409,89.742169,93.414223,93.464957,93.617508,93.947797,93.855687,94.070135,94.695874,94723878,94.751223,93.439952,93.513502,93.484677,91.781093,91.843417,91.691199,93.250163,92.942211,92.81753,4.683062,4.958849,5.020528,65.862916,66.067872,65.727599,57.314717,57.558051,57.462267,52.745398,52.954351,52.913369,31.649697,31.778917,25.676496,25.716518,24.021196,24.430651
749,92.669056,89.358029,89.446832,93.254952,93.334925,93.358584,94.086932,93.960543,94.161514,94.730060,94.510795,94.808167,93.217209,93.304599,93.505178,91.609551,91.822870,91.583952,93.244275,92.847831,93.027295,4.677195,4.816686,5.169564,65.777193,65.377438,65.641686,57.198529,57.298915,57.278014,52.818293,52.508772,52.542578,31.749178,31.896035,25.305301,25.849232,24.448217,24.455436
748,92.701577,89.257049,89.317162,93.034779,93.357448,93.169514,93.866348,93.998676,94.007603,94.638406,94.531714,94.538516,93.298193,93.219147,93.200955,91.587168,91.773650,91.557581,92.965046,92.650348,92.843617,4.819843,4.681901,4.521309,65.499346,65.557416,65.672286,57.163107,57.240150,57.344662,52.910140,52.714268,53.116592,32.029301,31.412357,25.300634,25.840266,24.274415,24.142426
747,92.87938,89.464456,89.499183,93.617110,93.126497,93.210762,94.035089,93.989623,94.029650,94.480652,94.496868,94.447479,93.316768,93.277289,93.234522,91.694653,91.645901,91.797228,93.281131,93.020895,92.811815,5.017909,4.834105,4.616525,65.811341,65.987285,66.086893,57.651132,57.563749,57.671491,53.177080,53.192661,53.260143,31.543152,31.930330,25.837167,25.759192,24.591337,24.660301
746,92.874293,89.636354,89.692111,93.477262,93.572050,93.349033,94.059379,93.913568,94.051893,94.529674,94.549440,94.595308,93.231046,93.424185,93.751149,91.872533,91.973741,91.730316,93.212234,93.165961,93.120419,4.939935,4.417708,4.653326,66.084113,66.243235,65.768311,57.515430,57.536696,57.832091,53.121078,53.201260,53.099566,31.792645,31.889737,25.930388,25.805826,24.860702,24.483286
745,92.83371,89.564061,89.375747,93.532922,93.508236,93.415297,94.040222,94.122717,94.136982,94.586770,94.555167,94.828345,93.634228,93.609840,93.570046,91.896879,91.959347,91.864108,93.047668,92.773970,92.947491,4.699890,4.634383,4.762143,65.758616,65.738627,65.907978,57.501031,57.355877,57.470706,52.899129,53.052019,53.056521,31.671225,31.682097,25.641180,25.796983,24.417188,24.145436
744,92.680979,89.258954,89.332816,93.406015,93.188635,93.455253,93.846846,93.884629,93.694831,94.367590,94.602962,94.691581,93.172600,93.341179,93.406472,91.650741,91.777223,91.644503,93.101464,92.873746,92.969259,4.610731,4.685002,4.685321,65.559067,65.677535,65.871008,57.466410,57.293046,57.528703,52.892271,52.918798,52.915238,31.641837,31.738832,25.783373,25.663778,24.073594,24.518903
743,92.624137,89.098625,89.157462,92.788119,93.365581,93.165018,93.931295,93.715708,93.775486,94.279469,94.239862,94.386768,93.119688,93.264068,93.376136,91.438714,91.500355,91.304228,92.839734,92.816957,92.687095,4.504247,5.093669,4.771896,65.880099,65.885318,65.969906,57.601450,57.638385,57.754793,52.903418,53.033571,52.929238,31.615298,31.775611,25.667588,25.785592,24.141613,24.326271
742,93.045016,89.280448,89.491582,93.552619,93.512114,93.522590,94.131743,94.229193,94.123990,94.642223,94.922444,94.763815,93.691289,93.677006,93.674383,91.924577,91.761717,91.925329,93.078488,93.138907,93.162766,4.490893,4.542172,4.872564,65.904414,65.725295,65.547931,57.469398,57.598725,57.400240,52.833400,53.003421,52.992035,31.410905,31.768039,25.399047,25.747452,24.117270,24.372141
741,92.806737,89.283194,89.488053,93.668008,93.563497,93.677713,94.094130,94.119862,94.189515,94.767500,94.554517,94.678546,93.469112,93.306788,93.686956,91.896269,91.901320,91.867322,93.301915,93.032374,93.326035,4.578179,4.769044,4.707638,65.721967,65.830363,65.962941,57.301746,57.428156,57.700391,52.934270,52.977150,52.927406,31.728596,31.432538,25.534025,25.662968,24.478044,24.400150
